Volcano Number,Volcano Name,Country,Activity classification,Class,Sentinel-1 quality,Remote detections (Def/G/T),Detection Type,PEI,Primary volcano type,Activity evidence,Last known eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant rock type,Tectonic setting,Geological summary,,,,,,,,,,,,,,,,
210010,West Eifel Volcanic Field,Germany,Quiescent Ground-based,B2,,,Seismic swarm,,Maar(s),Eruption dated,8300 B.C.E.,Mediterranean and Western Asia,Western Europe,50.170,6.850, 	600 ,Foidite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
210020,Chaine des Puys,France,Inactive,C,,,,,Lava dome(s),Eruption dated,4040 B.C.E.,Mediterranean and Western Asia,Western Europe,45.775,2.970," 	1,464 ",Basalt/Picro-basalt,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
210030,Olot Volcanic Field,Spain,Inactive,C,,,,,Pyroclastic cone(s),Evidence credible,Unknown,Mediterranean and Western Asia,Western Europe,42.170,2.530, 	893 ,Trachybasalt/Tephrite basanite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
210040,Calatrava Volcanic Field,Spain,Inactive,C,,,,,Pyroclastic cone(s),Eruption dated,3600 B.C.E.,Mediterranean and Western Asia,Western Europe,38.870,-4.020," 	1,117 ",Basalt/Picro-basalt,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211003,Vulsini,Italy,Inactive,C,,,,,Caldera,Eruption observed,104 B.C.E.,Mediterranean and Western Asia,Italy,42.600,11.930, 	800 ,Trachyte/Trachydacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211004,Colli Albani,Italy,Quiescent,B1,,Def,,,Caldera,Evidence uncertain,Unknown,Mediterranean and Western Asia,Italy,41.730,12.700, 	949 ,Foidite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211010,Campi Flegrei,Italy,Quiescent,B1,,Def,,,Caldera,Eruption observed,1538 C.E.,Mediterranean and Western Asia,Italy,40.827,14.139, 	458 ,Trachyte/Trachydacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211020,Vesuvius,Italy,Quiescent,B1,,Def,,,Stratovolcano,Eruption observed,1944 C.E.,Mediterranean and Western Asia,Italy,40.821,14.426," 	1,281 ",Phono-tephrite/tephri-phonolite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211030,Ischia,Italy,Inactive,C,,,,,Complex,Eruption observed,1302 C.E.,Mediterranean and Western Asia,Italy,40.730,13.897, 	789 ,Trachyte/Trachydacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211031,Palinuro,Italy,Inactive,C,,,,,Submarine,Eruption dated,8040 B.C.E.,Mediterranean and Western Asia,Italy,39.480,14.830, 	(70),Phonolite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
